date,open,high,low,close,volume
2023-04-04 12:00:00,100.9257,101.3663,99.6559,100.0,1000.0
2023-04-04 16:00:00,100.0,100.8704,99.7396,100.568,1000.37
2023-04-04 20:00:00,100.568,101.0309,100.1233,100.4832,1000.74
2023-04-05 00:00:00,100.4832,102.7077,100.1984,101.8362,1001.11
2023-04-05 04:00:00,101.8362,102.1703,101.4661,101.7666,1001.48
2023-04-05 08:00:00,101.7665,102.0834,101.45,101.8706,1001.85
2023-04-05 12:00:00,101.8706,102.6185,99.3434,100.0037,1002.22
2023-04-05 16:00:00,100.0037,101.0418,99.1475,100.7513,1002.59
2023-04-05 20:00:00,100.7513,101.0131,100.3143,100.4994,1002.96
2023-04-06 00:00:00,100.4994,100.5923,99.4097,100.351,1003.33
2023-04-06 04:00:00,100.351,100.4066,99.5138,99.5752,1003.7
2023-04-06 08:00:00,99.5752,100.0449,98.8118,99.6985,1004.07
2023-04-06 12:00:00,99.6984,100.5887,98.9509,100.2153,1004.44
2023-04-06 16:00:00,100.2153,100.5346,99.6677,99.9562,1004.81
2023-04-06 20:00:00,99.9562,100.3776,99.4861,100.0135,1005.18
2023-04-07 00:00:00,100.0135,100.2996,99.5807,100.0308,1005.55
2023-04-07 04:00:00,100.0308,100.1666,99.0114,99.3212,1005.92
2023-04-07 08:00:00,99.3213,99.8061,99.0758,99.3252,1006.29
2023-04-07 12:00:00,99.3252,99.8884,99.1293,99.6934,1006.66
2023-04-07 16:00:00,99.6934,99.7768,99.3291,99.5272,1007.03
2023-04-07 20:00:00,99.5272,99.8741,99.2685,99.5587,1007.4
2023-04-08 00:00:00,99.5587,100.1547,99.3399,99.9763,1007.77
2023-04-08 04:00:00,99.9763,100.4958,99.7506,100.2004,1008.14
2023-04-08 08:00:00,100.2004,100.3529,99.8092,99.9502,1008.51
2023-04-08 12:00:00,99.9502,100.1462,99.6644,99.9453,1008.88
2023-04-08 16:00:00,99.9453,100.0142,99.3866,99.6222,1009.25
2023-04-08 20:00:00,99.6222,99.8979,99.4356,99.673,1009.62
2023-04-09 00:00:00,99.673,100.2405,99.5749,99.9917,1009.99
2023-04-09 04:00:00,99.9917,100.1835,99.2738,99.5468,1010.36
2023-04-09 08:00:00,99.5468,99.7644,99.1293,99.6438,1010.73
2023-04-09 12:00:00,99.6438,99.8479,99.1293,99.5072,1011.1
2023-04-09 16:00:00,99.5072,100.8347,99.4029,100.3937,1011.47
2023-04-09 20:00:00,100.3938,101.8337,100.18,101.0479,1011.84
2023-04-10 00:00:00,101.0479,101.4606,100.714,100.8862,1012.21
2023-04-10 04:00:00,100.8862,101.1038,100.5443,100.9081,1012.58
2023-04-10 08:00:00,100.9081,101.2808,100.824,100.9831,1012.95
2023-04-10 12:00:00,100.9831,101.9943,100.4493,101.4604,1013.32
2023-04-10 16:00:00,101.4604,104.8661,101.1147,104.0778,1013.69
2023-04-10 20:00:00,104.0778,106.2575,103.657,105.7342,1014.06
2023-04-11 00:00:00,105.7342,108.6121,105.5153,107.4417,1014.43
2023-04-11 04:00:00,107.4554,107.6952,106.2782,107.4231,1014.8137
2023-04-11 08:00:00,107.4094,107.6038,106.8853,107.2248,1015.17
2023-04-11 12:00:00,107.2247,108.077,106.8888,107.7209,1015.54
2023-04-11 16:00:00,107.721,109.0402,107.1207,107.4919,1015.91
2023-04-11 20:00:00,107.4919,108.0562,106.764,107.743,1016.28
2023-04-12 00:00:00,107.7431,108.3269,106.3067,106.7499,1016.65
2023-04-12 04:00:00,106.7499,107.3293,106.4429,106.9817,1017.02
2023-04-12 08:00:00,106.9816,107.2581,106.6069,107.0862,1017.39
2023-04-12 12:00:00,107.0862,108.8119,105.6844,106.8997,1017.76
2023-04-12 16:00:00,106.8997,107.4027,106.1223,106.3095,1018.13
2023-04-12 20:00:00,106.3095,107.0058,106.1777,106.6287,1018.5
2023-04-13 00:00:00,106.6287,107.7916,106.4593,107.2855,1018.87
2023-04-13 04:00:00,107.2855,107.5368,106.9171,107.2728,1019.24
2023-04-13 08:00:00,107.2728,108.4154,107.1172,107.5982,1019.61
2023-04-13 12:00:00,107.5982,109.2008,107.4567,108.6029,1019.98
2023-04-13 16:00:00,108.6029,108.9894,107.9142,108.2236,1020.35
2023-04-13 20:00:00,108.2236,108.4862,107.7094,108.3617,1020.72
2023-04-14 00:00:00,108.3617,110.2667,108.0841,109.4928,1021.09
2023-04-14 04:00:00,109.5066,110.6593,109.3982,109.6594,1021.4737
2023-04-14 08:00:00,109.6594,110.0431,109.3361,109.9026,1021.8437
2023-04-14 12:00:00,109.8889,110.1105,107.3384,107.8767,1022.2
2023-04-14 16:00:00,107.8767,108.3545,106.8567,108.1843,1022.57
2023-04-14 20:00:00,108.198,108.9543,107.963,108.7076,1022.9537
2023-04-15 00:00:00,108.6939,109.2029,107.9701,108.3699,1023.31
2023-04-15 04:00:00,108.3699,108.7474,108.1838,108.5739,1023.68
2023-04-15 08:00:00,108.5738,108.7548,108.2791,108.4026,1024.05
2023-04-15 12:00:00,108.4027,108.662,107.9948,108.1885,1024.42
2023-04-15 16:00:00,108.1885,108.2887,107.6987,108.2115,1024.79
2023-04-15 20:00:00,108.2115,108.363,107.8214,108.0808,1025.16
2023-04-16 00:00:00,108.0808,108.2162,107.4061,107.9177,1025.53
2023-04-16 04:00:00,107.9176,108.5029,107.855,108.2587,1025.9
2023-04-16 08:00:00,108.2587,108.3408,107.7643,107.8359,1026.27
2023-04-16 12:00:00,107.836,108.3695,107.5503,108.216,1026.64
2023-04-16 16:00:00,108.216,109.0402,107.9045,108.1306,1027.01
2023-04-16 20:00:00,108.1306,108.5335,107.663,108.1149,1027.38
2023-04-17 00:00:00,108.1149,108.2056,106.0527,106.9667,1027.75
2023-04-17 04:00:00,106.9667,107.105,106.3787,106.4512,1028.12
2023-04-17 08:00:00,106.4512,106.8015,104.7162,105.4969,1028.49
2023-04-17 12:00:00,105.4968,105.6265,104.269,104.7387,1028.86
2023-04-17 16:00:00,104.7387,105.5802,104.5908,105.1274,1029.23
2023-04-17 20:00:00,105.1274,105.426,104.8086,104.9955,1029.6
2023-04-18 00:00:00,104.9955,105.2942,103.7557,105.0551,1029.97
2023-04-18 04:00:00,105.0551,106.3752,104.9893,106.2275,1030.34
2023-04-18 08:00:00,106.2275,108.4397,105.8831,108.3858,1030.71
2023-04-18 12:00:00,108.3858,108.8083,107.3325,107.6875,1031.08
2023-04-18 16:00:00,107.6875,108.0563,106.7839,107.8183,1031.45
2023-04-18 20:00:00,107.8184,108.6835,107.5132,108.3838,1031.82
2023-04-19 00:00:00,108.3838,108.5533,107.4275,107.7816,1032.19
2023-04-19 04:00:00,107.7816,108.2393,106.9067,107.3054,1032.56
2023-04-19 08:00:00,107.3054,107.3554,103.4104,104.5687,1032.93
2023-04-19 12:00:00,104.5687,105.2942,103.7672,104.3896,1033.3
2023-04-19 16:00:00,104.3895,104.8304,103.6958,104.2705,1033.67
2023-04-19 20:00:00,104.2705,104.6364,101.698,102.7366,1034.04
2023-04-20 00:00:00,102.7366,103.5104,101.8014,102.97,1034.41
2023-04-20 04:00:00,102.9699,103.8254,102.764,102.9954,1034.78
2023-04-20 08:00:00,102.9954,103.3356,101.9477,102.0588,1035.15
2023-04-20 12:00:00,102.0588,103.4344,101.0344,101.7005,1035.52
2023-04-20 16:00:00,101.7005,102.2932,99.8785,100.2652,1035.89
2023-04-20 20:00:00,100.2652,101.2468,99.8856,100.7621,1036.26
